,ret
2018-11-23,-1.0
2018-11-26,-0.07744961963567266
2018-11-27,-0.13133267195683462
2018-11-28,0.28143699742743206
2018-11-29,-0.43270835515960615
2018-11-30,0.7067778320150683
2018-12-03,-0.012609264351729021
2018-12-04,0.7227660103015406
2018-12-05,0.42937079337079453
2018-12-06,-0.16068980869190172
2018-12-07,0.23960274077255553
2018-12-10,0.0947166881208994
2018-12-11,0.8024401950817702
2018-12-12,0.3587795843733636
2018-12-13,-0.5053329004110749
2018-12-14,-0.6980143680112318
2018-12-17,0.3658330301229927
2018-12-18,0.5312066957531046
2018-12-19,-0.6748119706838077
2018-12-20,-0.12922940511524195
2018-12-21,0.31010741019340965
2018-12-24,0.7954062490466147
2018-12-25,0.5307832276766941
2018-12-26,0.4995648461413353
2018-12-27,-0.0451134911868874
2018-12-28,-0.18848584394134638
2019-01-02,0.473992604767086
