index,0
0,2018-11-23
1,2018-11-26
2,2018-11-27
3,2018-11-28
4,2018-11-29
5,2018-11-30
6,2018-12-03
7,2018-12-04
8,2018-12-05
9,2018-12-06
10,2018-12-07
11,2018-12-10
12,2018-12-11
13,2018-12-12
14,2018-12-13
15,2018-12-14
16,2018-12-17
17,2018-12-18
18,2018-12-19
19,2018-12-20
20,2018-12-21
21,2018-12-24
22,2018-12-25
23,2018-12-26
24,2018-12-27
25,2018-12-28
26,2019-01-02
