code_type,round_lot,contract_multiplier,maturity_date,margin_rate,open_tax,close_tax,open_commission,close_commission,min_commission,commission_multiplier,margin_multiplier,fixed_slippage,price_related_slippage,management_fee_rate,locked_period
default,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,,,,,,,,,,,,,,,0.0
